pagamento_id,pedido_id,metodo_pagamento,valor_pago,data_pagamento
1,5001,cartao_credito,"R$ 100,00",2023-06-01
2,5001,PIX,150.5,02/06/2023
3,5002,pix,89.9,2023-06-03
4,5003,Cartão de Crédito,"R$ 0,00",2023-06-04
5,5004,Boleto,"R$ 1.200,00",05/06/2023
6,5005,credito,"R$ 45,00",06/06/2023
7,5006,PIX,"R$ 230,00",2023-06-07
8,5007,boleto,"R$ 78,5",08/06/2023
9,5008,Cartao de Credito,560.9,2023-06-09
10,5009,pix,"R$ 35,00",10/06/2023
11,5010,PIX,99.99,2023-06-11
12,5011,Boleto,"R$ 450,00",12/06/2023
13,5012,cartao_credito,670.4,2023-06-13
14,5013,Pix,210.75,14/06/2023
15,5014,Cartão de Crédito,"R$ 88,00",2023-06-15
16,5015,PIX,305.2,16/06/2023
17,5016,boleto,"R$ 1.500,00",2023-06-17
18,5017,pix,64.9,18/06/2023
19,5018,Cartao de Credito,"R$ 720,00",2023-06-19
20,5019,Boleto,"R$ 46.284,00",20/06/2023
21,5020,PIX,"R$ 340,00",2023-06-21
22,5021,pix,125.5,22/06/2023
23,5022,Cartão Crédito,"R$ 980,00",2023-06-23
24,5023,Boleto,"R$ 75,00",24/06/2023
25,5024,PIX,420.35,2023-06-25
26,5025,cartao_credito,"R$ 260,00",26/06/2023
27,5026,Pix,53.8,2023-06-27
28,5027,Boleto,"R$ 810,00",28/06/2023
29,5028,cartao credito,"R$ 145,00",2023-06-29
30,5029,PIX,390.9,30/06/2023
31,5030,pix,"R$ 0,00",2023-07-01
32,5031,Cartão de Crédito,"R$ 110,00",02/07/2023
33,5032,Boleto,999.9,2023-07-03
34,5033,PIX,"R$ 2.300,00",04/07/2023
35,5034,cartao_credito,48.5,2023-07-05
36,5035,PIX,"R$ 600,00",06/07/2023
