pedido_id,cliente_id,data_pedido,valor_total,status
5001,101,2023-06-01,"R$ 150,5",CONCLUIDO
5001,101,2023-06-01,"R$ 150,5",CONCLUIDO
5002,102,2023-06-02,"R$ 89,9",CONCLUIDO
5003,103,2023-06-03,,PENDENTE
5004,999,2023-06-04,"R$ 1.200,00",CONCLUIDO
5005,104,2023-06-05,"R$ 45,00",CANCELADO
5006,105,2023-06-06,"R$ 230,00",CONCLUIDO
5007,106,2023-06-07,,PENDENTE
5008,107,2023-06-08,"R$ 560,9",CONCLUIDO
5009,108,2023-06-09,"R$ 35,00",CANCELADO
5010,109,2023-06-10,"R$ 99,99",CONCLUIDO
5011,110,2023-06-11,"R$ 450,00",pendente
5012,111,2023-06-12,"R$ 670,4",CONCLUIDO
5013,112,2023-06-13,"R$ 210,75",CANCELADO
5014,113,2023-06-14,"R$ 88,00",CONCLUIDO
5015,114,2023-06-15,"R$ 305,2",CONCLUIDO
5016,115,2023-06-16,"R$ 1.500,00",PENDENTE
5017,116,2023-06-17,"R$ 64,9",CONCLUIDO
5018,117,2023-06-18,"R$ 720,00",CONCLUIDO
5019,118,2023-06-19,"R$ 46.284,00",CANCELADO
5020,119,2023-06-20,"R$ 340,00",CONCLUIDO
5021,120,2023-06-21,"R$ 125,5",PENDENTE
5022,121,2023-06-22,"R$ 980,00",CONCLUIDO
5023,122,2023-06-23,"R$ 75,00",cancelado
5024,123,2023-06-24,"R$ 420,35",CONCLUIDO
5025,124,2023-06-25,"R$ 260,00",PENDENTE
5026,125,2023-06-26,"R$ 53,80",CONCLUIDO
5027,126,2023-06-27,"R$ 810,00",CONCLUIDO
5028,127,2023-06-28,"R$ 145,00",CANCELADO
5029,128,2023-06-29,,PENDEDNTE
5030,129,2023-06-30,,PENDEDNTE
5031,130,2023-07-01,"R$ 110,00",CONCLUIDO
5032,131,2023-07-02,,PENDENTE
5033,132,2023-07-03,"R$ 2.300,00",CONCLUIDO
5034,133,2023-07-04,"R$ 48,5",CANCELADO
5035,134,2023-07-05,"R$ 615,00",CONCLUIDO
